CCL,15.47,08/14/2020 16:00:01 EDT,15.02,08/14/2020 00:00:00 EDT,0.25,1.64
EQR,54.39,08/14/2020 16:00:02 EDT,53.59,08/14/2020 00:00:00 EDT,0.88,1.64
PSX,63.66,08/14/2020 16:00:02 EDT,62.1,08/14/2020 00:00:00 EDT,1.03,1.64
DFS,54.3,08/14/2020 16:00:01 EDT,52.95,08/14/2020 00:00:00 EDT,0.87,1.63
NUE,46.24,08/14/2020 16:00:01 EDT,45.18,08/14/2020 00:00:00 EDT,0.74,1.63
LNC,38.82,08/14/2020 16:00:02 EDT,37.72,08/14/2020 00:00:00 EDT,0.62,1.62
DLTR,98.84,08/14/2020 16:00:01 EDT,97.21,08/14/2020 00:00:00 EDT,1.57,1.61
SYY,59.54,08/14/2020 16:00:01 EDT,58.44,08/14/2020 00:00:00 EDT,0.94,1.60
AVB,153.05,08/14/2020 16:02:16 EDT,150.31,08/14/2020 00:00:00 EDT,2.35,1.56
CMI,213.51,08/14/2020 16:02:44 EDT,209.98,08/14/2020 00:00:00 EDT,3.28,1.56
ADS,47.84,08/14/2020 16:00:01 EDT,46.52,08/14/2020 00:00:00 EDT,0.73,1.55
HRB,15.11,08/14/2020 16:03:23 EDT,14.79,08/14/2020 00:00:00 EDT,0.23,1.55
PRU,70.59,08/14/2020 16:00:01 EDT,69.0,08/14/2020 00:00:00 EDT,1.05,1.51
CVS,65.67,08/14/2020 16:00:01 EDT,64.28,08/14/2020 00:00:00 EDT,0.97,1.50
PSA,200.24,08/14/2020 16:00:01 EDT,197.56,08/14/2020 00:00:00 EDT,2.94,1.49
BBY,109.49,08/14/2020 16:00:01 EDT,108.34,08/14/2020 00:00:00 EDT,1.59,1.47
PRGO,53.4,08/14/2020 16:00:01 EDT,52.45,08/14/2020 00:00:00 EDT,0.77,1.46
ESS,219.15,08/14/2020 16:02:29 EDT,215.38,08/14/2020 00:00:00 EDT,3.12,1.44
AOS,49.76,08/14/2020 16:00:01 EDT,48.99,08/14/2020 00:00:00 EDT,0.70,1.43
ABC,103.75,08/14/2020 16:00:01 EDT,101.94,08/14/2020 00:00:00 EDT,1.44,1.41
CMA,41.82,08/14/2020 16:04:04 EDT,40.8,08/14/2020 00:00:00 EDT,0.58,1.41
